Title	URL	HasUniqueRoleAssignments	User/Group	Roles
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM Administrators	Full Control,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM Owners	Full Control,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM Members	Read,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM Visitors	Read,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM Viewers	Read,
BusinessSubFunctions	http://sps2013/sites/tomv2/Lists/BusinessSubFunctions	True	SPS2013\administrator	Full Control,
BusinessSubFunctions	http://sps2013/sites/tomv2/Lists/BusinessSubFunctions	True	TOM v2 Owners	Full Control,
BusinessSubFunctions	http://sps2013/sites/tomv2/Lists/BusinessSubFunctions	True	TOM v2 Visitors	Read,
BusinessSubFunctions	http://sps2013/sites/tomv2/Lists/BusinessSubFunctions	True	TOM v2 Members	Edit,
BusinessSubFunctions	http://sps2013/sites/tomv2/Lists/BusinessSubFunctions	True	TOM Administrators	Full Control,
BusinessSubFunctions	http://sps2013/sites/tomv2/Lists/BusinessSubFunctions	True	TOM Owners	Full Control,
BusinessSubFunctions	http://sps2013/sites/tomv2/Lists/BusinessSubFunctions	True	TOM Members	Read,
BusinessSubFunctions	http://sps2013/sites/tomv2/Lists/BusinessSubFunctions	True	TOM Visitors	Read,
BusinessSubFunctions	http://sps2013/sites/tomv2/Lists/BusinessSubFunctions	True	TOM Viewers	Read,
Categories	http://sps2013/sites/tomv2/Lists/Categories	True	SPS2013\administrator	Full Control,
Categories	http://sps2013/sites/tomv2/Lists/Categories	True	TOM v2 Owners	Full Control,
Categories	http://sps2013/sites/tomv2/Lists/Categories	True	TOM v2 Visitors	Read,
Categories	http://sps2013/sites/tomv2/Lists/Categories	True	TOM v2 Members	Edit,
Categories	http://sps2013/sites/tomv2/Lists/Categories	True	TOM Administrators	Full Control,
Categories	http://sps2013/sites/tomv2/Lists/Categories	True	TOM Owners	Full Control,
Categories	http://sps2013/sites/tomv2/Lists/Categories	True	TOM Members	Read,
Categories	http://sps2013/sites/tomv2/Lists/Categories	True	TOM Visitors	Read,
Categories	http://sps2013/sites/tomv2/Lists/Categories	True	TOM Viewers	Read,
CheckList Definitions	http://sps2013/sites/tomv2/Lists/Checklists	True	SPS2013\administrator	Full Control,
CheckList Definitions	http://sps2013/sites/tomv2/Lists/Checklists	True	TOM v2 Owners	Full Control,
CheckList Definitions	http://sps2013/sites/tomv2/Lists/Checklists	True	TOM v2 Visitors	Read,
CheckList Definitions	http://sps2013/sites/tomv2/Lists/Checklists	True	TOM v2 Members	Edit,
CheckList Definitions	http://sps2013/sites/tomv2/Lists/Checklists	True	TOM Administrators	Full Control,
CheckList Definitions	http://sps2013/sites/tomv2/Lists/Checklists	True	TOM Owners	Full Control,
CheckList Definitions	http://sps2013/sites/tomv2/Lists/Checklists	True	TOM Members	Read,
CheckList Definitions	http://sps2013/sites/tomv2/Lists/Checklists	True	TOM Visitors	Read,
CheckList Definitions	http://sps2013/sites/tomv2/Lists/Checklists	True	TOM Viewers	Read,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	SPS2013\administrator	Full Control,Limited Access,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	Excel Services Viewers	View Only,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	TOM v2 Owners	Full Control,Limited Access,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	TOM v2 Visitors	Read,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	TOM v2 Members	Edit,Limited Access,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	TOM Administrators	Full Control,Limited Access,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	TOM Owners	Full Control,Limited Access,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	TOM Members	Contribute,Limited Access,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	TOM Visitors	Read,Limited Access,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	TOM Viewers	Read,Limited Access,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	Style Resource Readers	Limited Access,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	Designers	Design,Limited Access,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	Hierarchy Managers	Manage Hierarchy,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	Approvers	Approve,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	Restricted Readers	Restricted Read,
Content and Structure Reports	http://sps2013/sites/tomv2/Reports List	False	Translation Managers	Restricted Interfaces for Translation,
ContentTypeFieldMapping	http://sps2013/sites/tomv2/Lists/ContentTypeFieldMapping	True	SPS2013\administrator	Full Control,
ContentTypeFieldMapping	http://sps2013/sites/tomv2/Lists/ContentTypeFieldMapping	True	TOM v2 Owners	Full Control,
ContentTypeFieldMapping	http://sps2013/sites/tomv2/Lists/ContentTypeFieldMapping	True	TOM v2 Visitors	Read,
ContentTypeFieldMapping	http://sps2013/sites/tomv2/Lists/ContentTypeFieldMapping	True	TOM v2 Members	Edit,
ContentTypeFieldMapping	http://sps2013/sites/tomv2/Lists/ContentTypeFieldMapping	True	TOM Administrators	Full Control,
ContentTypeFieldMapping	http://sps2013/sites/tomv2/Lists/ContentTypeFieldMapping	True	TOM Owners	Full Control,
